
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0358                          U2                                23   2      1   1   5 27         27 0 VCC                 (43-2-13)
40-0358                          U2                                23   2      1   1   6 11         11 0 VCC                 (43-2-13)
40-0358                          U2                                23   3      1   1   7 99         99 0 GND                 (43-1-13)
40-0358                          U2                                23   3      1   1   8 74         74 0 GND                 (43-1-13)
40-0358                          U2                                23   3      1   1   9 26         26 0 GND                 (43-1-13)
40-0358                          U2                                23   3      1   1  10 10         10 0 GND                 (43-1-13)
40-0358                          U2                                23   3      1   1  11 49         49 0 GND                 (43-1-13)
40-0358                          U2                                23   3      1   1  12 19         19 0 GND                 (43-1-13)
40-0358                          U2                                24   4      1   1  13 81         81 0                     (0-0-0)
40-0358                          U2                                24   4      2   2  13 82         82 0                     (0-0-0)
40-0358                          U2                                24   4      3   3  13 83         83 0                     (0-0-0)
40-0358                          U2                                24   4      4   4  13 84         84 0                     (0-0-0)
40-0358                          U2                                24   4      5   5  13 85         85 0                     (0-0-0)
40-0358                          U2                                24   4      6   6  13 86         86 0                     (0-0-0)
40-0358                          U2                                24   4      7   7  13 87         87 0 SD_SCK              (4152-7-13)
40-0358                          U2                                24   4      8   8  13 88         88 0 SD_CMD              (4152-8-13)
40-0358                          U2                                24   4      9   9  13 55         55 0                     (0-0-0)
40-0358                          U2                                24   4     10  10  13 56         56 0                     (0-0-0)
40-0358                          U2                                24   4     11  11  13 57         57 0                     (0-0-0)
40-0358                          U2                                24   4     12  12  13 58         58 0                     (0-0-0)
40-0358                          U2                                24   4     13  13  13 59         59 0 AHRS_SCL            (4152-21-13)
40-0358                          U2                                24   4     14  14  13 60         60 0 AHRS_SDA            (4152-22-13)
40-0358                          U2                                24   4     15  15  13 61         61 0                     (0-0-0)
40-0358                          U2                                24   4     16  16  13 62         62 0                     (0-0-0)
40-0358                          U2                                24   4     17  17  13 97         97 0                     (0-0-0)
40-0358                          U2                                24   4     18  18  13 98         98 0                     (0-0-0)
40-0358                          U2                                24   4     19  19  13 1           1 0 ESP_SPI_SCK         (4152-11-13)
40-0358                          U2                                24   4     20  20  13 2           2 0 ESP_SPI_HS          (4282-4-13)
40-0358                          U2                                24   4     21  21  13 3           3 0 ESP_SPI_NSS         (4282-3-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0358                          U2                                24   4     22  22  13 4           4 0 ESP_SPI_MISO        (4282-5-13)
40-0358                          U2                                24   4     23  23  13 5           5 0 ESP_SPI_MOSI        (4152-12-13)
40-0358                          U2                                24   4     24  24  13 37         37 0 XSIG020310          (4483-1-13)
40-0358                          U2                                24   4     25  25  13 38         38 0 XSIG020311          (4483-2-13)
40-0358                          U2                                24   4     26  26  13 39         39 0 XSIG020312          (4483-3-13)
40-0358                          U2                                24   4     27  27  13 40         40 0 XSIG020313          (4483-4-13)
40-0358                          U2                                24   4     28  28  13 41         41 0 XSIG020314          (4483-5-13)
40-0358                          U2                                24   4     29  29  13 42         42 0                     (0-0-0)
40-0358                          U2                                24   4     30  30  13 43         43 0                     (0-0-0)
40-0358                          U2                                24   4     31  31  13 44         44 0                     (0-0-0)
40-0358                          U2                                24   4     32  32  13 45         45 0                     (0-0-0)
50-0044                          L1                                 2   1      1   1   1 1           1 0 XSIG011144          (4152-2-13)
50-0044                          L1                                 2   1      2   2   1 2           2 0 VCC                 (43-2-13)
70-0014                          J18                               75   1      1   1   1 1           1 0 GND                 (43-1-13)
70-0014                          J18                               75   1      2   2   1 2           2 0 SPI1_SCK_5V         (4282-9-13)
70-0014                          J18                               75   1      3   3   1 3           3 0 GND                 (43-1-13)
70-0014                          J18                               75   1      4   4   1 4           4 0 SPI1_MOSI_5V        (4282-8-13)
70-0014                          J19                               76   1      1   1   1 1           1 0 GND                 (43-1-13)
70-0014                          J19                               76   1      2   2   1 2           2 0 SPI2_SCK_5V         (4282-11-13)
70-0014                          J19                               76   1      3   3   1 3           3 0 GND                 (43-1-13)
70-0014                          J19                               76   1      4   4   1 4           4 0 SPI2_MOSI_5V        (4282-10-13)
70-0014                          J20                               77   1      1   1   1 1           1 0 GND                 (43-1-13)
70-0014                          J20                               77   1      2   2   1 2           2 0 SPI3_SCK_5V         (4282-13-13)
70-0014                          J20                               77   1      3   3   1 3           3 0 GND                 (43-1-13)
70-0014                          J20                               77   1      4   4   1 4           4 0 SPI3_MOSI_5V        (4282-12-13)
70-0014                          J21                               78   1      1   1   1 1           1 0 GND                 (43-1-13)
70-0014                          J21                               78   1      2   2   1 2           2 0 SPI6_SCK_5V         (4282-14-13)
70-0014                          J21                               78   1      3   3   1 3           3 0 GND                 (43-1-13)
70-0014                          J21                               78   1      4   4   1 4           4 0 SPI6_MOSI_5V        (4282-16-13)
