
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
20-0075                          D41                               40   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D41                               40   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D42                               37   1      1   1   1 2           2 0 XSIG012482          (4247-73-13)
20-0075                          D42                               37   1      2   2   1 5           5 0 XSIG012500          (4247-75-13)
20-0075                          D42                               37   1      3   3   1 1           1 0 XSIG012483          (4247-74-13)
20-0075                          D42                               37   1      4   4   1 4           4 0 XSIG012501          (4247-76-13)
20-0075                          D42                               37   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D42                               37   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D43                               36   1      1   1   1 2           2 0 XSIG012500          (4247-75-13)
20-0075                          D43                               36   1      2   2   1 5           5 0 XSIG012502          (4247-77-13)
20-0075                          D43                               36   1      3   3   1 1           1 0 XSIG012501          (4247-76-13)
20-0075                          D43                               36   1      4   4   1 4           4 0 XSIG012503          (4247-78-13)
20-0075                          D43                               36   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D43                               36   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D44                               35   1      1   1   1 2           2 0 XSIG012502          (4247-77-13)
20-0075                          D44                               35   1      2   2   1 5           5 0 XSIG012504          (4247-79-13)
20-0075                          D44                               35   1      3   3   1 1           1 0 XSIG012503          (4247-78-13)
20-0075                          D44                               35   1      4   4   1 4           4 0 XSIG012505          (4247-80-13)
20-0075                          D44                               35   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D44                               35   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D45                               34   1      1   1   1 2           2 0 XSIG012504          (4247-79-13)
20-0075                          D45                               34   1      2   2   1 5           5 0 XSIG012506          (4247-81-13)
20-0075                          D45                               34   1      3   3   1 1           1 0 XSIG012505          (4247-80-13)
20-0075                          D45                               34   1      4   4   1 4           4 0 XSIG012507          (4247-82-13)
20-0075                          D45                               34   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D45                               34   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D46                               29   1      1   1   1 2           2 0 XSIG012506          (4247-81-13)
20-0075                          D46                               29   1      2   2   1 5           5 0 XSIG012508          (4247-83-13)
20-0075                          D46                               29   1      3   3   1 1           1 0 XSIG012507          (4247-82-13)
20-0075                          D46                               29   1      4   4   1 4           4 0 XSIG012509          (4247-84-13)
20-0075                          D46                               29   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D46                               29   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D47                               28   1      1   1   1 2           2 0 XSIG012508          (4247-83-13)
20-0075                          D47                               28   1      2   2   1 5           5 0 XSIG012510          (4247-85-13)
20-0075                          D47                               28   1      3   3   1 1           1 0 XSIG012509          (4247-84-13)
20-0075                          D47                               28   1      4   4   1 4           4 0 XSIG012511          (4247-86-13)
20-0075                          D47                               28   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D47                               28   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D48                               31   1      1   1   1 2           2 0 XSIG012510          (4247-85-13)
20-0075                          D48                               31   1      2   2   1 5           5 0 XSIG012512          (4247-87-13)
20-0075                          D48                               31   1      3   3   1 1           1 0 XSIG012511          (4247-86-13)
20-0075                          D48                               31   1      4   4   1 4           4 0 XSIG012513          (4247-88-13)
20-0075                          D48                               31   2      1   1   2 6           6 0 VCC                 (43-2-13)
Schematic Net Listing
